Year,Total Production (MWh)
2018,2959632.0
2019,3047366.0
2020,2977382.0
2021,3089572.0
2022,3062582.0
2023,3101738.599999994
2024,3126549.1999999955
2025,3151359.799999997
2026,3176170.399999991
2027,3200980.9999999925
2028,3225791.599999994
2029,3250602.1999999955
2030,3275412.799999997
2031,3300223.399999991
2032,3325033.9999999925
2033,3349844.599999994
2034,3374655.1999999955
2035,3399465.799999997
2036,3424276.399999991
2037,3449086.9999999925
2038,3473897.599999994
